chapter#,verse#,chapter,verse
27,87,سورة النمل,ويوم ينفخ في الصور ففزع من في السمٰوٰت ومن في الارض الا من شاء الله وكل اتوه دٰخرين
27,88,سورة النمل,وترى الجبال تحسبها جامدة وهي تمر مر السحاب صنع الله الذي اتقن كل شيء انه خبير بما تفعلون
27,89,سورة النمل,من جاء بالحسنة فله خير منها وهم من فزع يومئذ ءامنون
27,90,سورة النمل,ومن جاء بالسيئة فكبت وجوههم في النار هل تجزون الا ما كنتم تعملون
27,91,سورة النمل,انما امرت ان اعبد رب هٰذه البلدة الذي حرمها وله كل شيء وامرت ان اكون من المسلمين
27,92,سورة النمل,وان اتلوا القرءان فمن اهتدىٰ فانما يهتدي لنفسه ومن ضل فقل انما انا من المنذرين
27,93,سورة النمل,وقل الحمد لله سيريكم ءايٰته فتعرفونها وما ربك بغٰفل عما تعملون
28,0,سورة القصص,سورة القصص
28,0,سورة القصص,بسم الله الرحمٰن الرحيم
28,1,سورة القصص,طسم
28,2,سورة القصص,تلك ءايٰت الكتٰب المبين
28,3,سورة القصص,نتلوا عليك من نبا موسىٰ وفرعون بالحق لقوم يؤمنون
28,4,سورة القصص,ان فرعون علا في الارض وجعل اهلها شيعا يستضعف طائفة منهم يذبح ابناءهم ويستحي نساءهم انه كان من المفسدين
28,5,سورة القصص,ونريد ان نمن على الذين استضعفوا في الارض ونجعلهم ائمة ونجعلهم الوٰرثين
28,6,سورة القصص,ونمكن لهم في الارض ونري فرعون وهٰمٰن وجنودهما منهم ما كانوا يحذرون
28,7,سورة القصص,واوحينا الىٰ ام موسىٰ ان ارضعيه فاذا خفت عليه فالقيه في اليم ولا تخافي ولا تحزني انا رادوه اليك وجاعلوه من المرسلين
28,8,سورة القصص,فالتقطه ءال فرعون ليكون لهم عدوا وحزنا ان فرعون وهٰمٰن وجنودهما كانوا خٰطين
28,9,سورة القصص,وقالت امرات فرعون قرت عين لي ولك لا تقتلوه عسىٰ ان ينفعنا او نتخذه ولدا وهم لا يشعرون
28,10,سورة القصص,واصبح فؤاد ام موسىٰ فٰرغا ان كادت لتبدي به لولا ان ربطنا علىٰ قلبها لتكون من المؤمنين
28,11,سورة القصص,وقالت لاخته قصيه فبصرت به عن جنب وهم لا يشعرون
28,12,سورة القصص,وحرمنا عليه المراضع من قبل فقالت هل ادلكم علىٰ اهل بيت يكفلونه لكم وهم له نٰصحون
28,13,سورة القصص,فرددنٰه الىٰ امه كي تقر عينها ولا تحزن ولتعلم ان وعد الله حق ولٰكن اكثرهم لا يعلمون
28,14,سورة القصص,ولما بلغ اشده واستوىٰ ءاتينٰه حكما وعلما وكذٰلك نجزي المحسنين
28,15,سورة القصص,ودخل المدينة علىٰ حين غفلة من اهلها فوجد فيها رجلين يقتتلان هٰذا من شيعته وهٰذا من عدوه فاستغٰثه الذي من شيعته على الذي من عدوه فوكزه موسىٰ فقضىٰ عليه قال هٰذا من عمل الشيطٰن انه عدو مضل مبين
28,16,سورة القصص,قال رب اني ظلمت نفسي فاغفر لي فغفر له انه هو الغفور الرحيم
28,17,سورة القصص,قال رب بما انعمت علي فلن اكون ظهيرا للمجرمين
28,18,سورة القصص,فاصبح في المدينة خائفا يترقب فاذا الذي استنصره بالامس يستصرخه قال له موسىٰ انك لغوي مبين
28,19,سورة القصص,فلما ان اراد ان يبطش بالذي هو عدو لهما قال يٰموسىٰ اتريد ان تقتلني كما قتلت نفسا بالامس ان تريد الا ان تكون جبارا في الارض وما تريد ان تكون من المصلحين
28,20,سورة القصص,وجاء رجل من اقصا المدينة يسعىٰ قال يٰموسىٰ ان الملا ياتمرون بك ليقتلوك فاخرج اني لك من النٰصحين
28,21,سورة القصص,فخرج منها خائفا يترقب قال رب نجني من القوم الظٰلمين
28,22,سورة القصص,ولما توجه تلقاء مدين قال عسىٰ ربي ان يهديني سواء السبيل
28,23,سورة القصص,ولما ورد ماء مدين وجد عليه امة من الناس يسقون ووجد من دونهم امراتين تذودان قال ما خطبكما قالتا لا نسقي حتىٰ يصدر الرعاء وابونا شيخ كبير
28,24,سورة القصص,فسقىٰ لهما ثم تولىٰ الى الظل فقال رب اني لما انزلت الي من خير فقير
28,25,سورة القصص,فجاءته احدىٰهما تمشي على استحياء قالت ان ابي يدعوك ليجزيك اجر ما سقيت لنا فلما جاءه وقص عليه القصص قال لا تخف نجوت من القوم الظٰلمين
28,26,سورة القصص,قالت احدىٰهما يٰابت استجره ان خير من استجرت القوي الامين
28,27,سورة القصص,قال اني اريد ان انكحك احدى ابنتي هٰتين علىٰ ان تاجرني ثمٰني حجج فان اتممت عشرا فمن عندك وما اريد ان اشق عليك ستجدني ان شاء الله من الصٰلحين
28,28,سورة القصص,قال ذٰلك بيني وبينك ايما الاجلين قضيت فلا عدوٰن علي والله علىٰ ما نقول وكيل
28,29,سورة القصص,فلما قضىٰ موسى الاجل وسار باهله ءانس من جانب الطور نارا قال لاهله امكثوا اني ءانست نارا لعلي ءاتيكم منها بخبر او جذوة من النار لعلكم تصطلون
28,30,سورة القصص,فلما اتىٰها نودي من شٰطي الواد الايمن في البقعة المبٰركة من الشجرة ان يٰموسىٰ اني انا الله رب العٰلمين
28,31,سورة القصص,وان الق عصاك فلما رءاها تهتز كانها جان ولىٰ مدبرا ولم يعقب يٰموسىٰ اقبل ولا تخف انك من الامنين
28,32,سورة القصص,اسلك يدك في جيبك تخرج بيضاء من غير سوء واضمم اليك جناحك من الرهب فذٰنك برهٰنان من ربك الىٰ فرعون وملايه انهم كانوا قوما فٰسقين
28,33,سورة القصص,قال رب اني قتلت منهم نفسا فاخاف ان يقتلون
28,34,سورة القصص,واخي هٰرون هو افصح مني لسانا فارسله معي ردءا يصدقني اني اخاف ان يكذبون
28,35,سورة القصص,قال سنشد عضدك باخيك ونجعل لكما سلطٰنا فلا يصلون اليكما بايٰتنا انتما ومن اتبعكما الغٰلبون
28,36,سورة القصص,فلما جاءهم موسىٰ بايٰتنا بينٰت قالوا ما هٰذا الا سحر مفترى وما سمعنا بهٰذا في ءابائنا الاولين
28,37,سورة القصص,وقال موسىٰ ربي اعلم بمن جاء بالهدىٰ من عنده ومن تكون له عٰقبة الدار انه لا يفلح الظٰلمون
28,38,سورة القصص,وقال فرعون يٰايها الملا ما علمت لكم من الٰه غيري فاوقد لي يٰهٰمٰن على الطين فاجعل لي صرحا لعلي اطلع الىٰ الٰه موسىٰ واني لاظنه من الكٰذبين
28,39,سورة القصص,واستكبر هو وجنوده في الارض بغير الحق وظنوا انهم الينا لا يرجعون
28,40,سورة القصص,فاخذنٰه وجنوده فنبذنٰهم في اليم فانظر كيف كان عٰقبة الظٰلمين
28,41,سورة القصص,وجعلنٰهم ائمة يدعون الى النار ويوم القيٰمة لا ينصرون
28,42,سورة القصص,واتبعنٰهم في هٰذه الدنيا لعنة ويوم القيٰمة هم من المقبوحين
28,43,سورة القصص,ولقد ءاتينا موسى الكتٰب من بعد ما اهلكنا القرون الاولىٰ بصائر للناس وهدى ورحمة لعلهم يتذكرون
28,44,سورة القصص,وما كنت بجانب الغربي اذ قضينا الىٰ موسى الامر وما كنت من الشٰهدين
28,45,سورة القصص,ولٰكنا انشانا قرونا فتطاول عليهم العمر وما كنت ثاويا في اهل مدين تتلوا عليهم ءايٰتنا ولٰكنا كنا مرسلين
28,46,سورة القصص,وما كنت بجانب الطور اذ نادينا ولٰكن رحمة من ربك لتنذر قوما ما اتىٰهم من نذير من قبلك لعلهم يتذكرون
28,47,سورة القصص,ولولا ان تصيبهم مصيبة بما قدمت ايديهم فيقولوا ربنا لولا ارسلت الينا رسولا فنتبع ءايٰتك ونكون من المؤمنين
28,48,سورة القصص,فلما جاءهم الحق من عندنا قالوا لولا اوتي مثل ما اوتي موسىٰ اولم يكفروا بما اوتي موسىٰ من قبل قالوا سحران تظٰهرا وقالوا انا بكل كٰفرون
28,49,سورة القصص,قل فاتوا بكتٰب من عند الله هو اهدىٰ منهما اتبعه ان كنتم صٰدقين
28,50,سورة القصص,فان لم يستجيبوا لك فاعلم انما يتبعون اهواءهم ومن اضل ممن اتبع هوىٰه بغير هدى من الله ان الله لا يهدي القوم الظٰلمين
28,51,سورة القصص,ولقد وصلنا لهم القول لعلهم يتذكرون
28,52,سورة القصص,الذين ءاتينٰهم الكتٰب من قبله هم به يؤمنون
28,53,سورة القصص,واذا يتلىٰ عليهم قالوا ءامنا به انه الحق من ربنا انا كنا من قبله مسلمين
28,54,سورة القصص,اولٰئك يؤتون اجرهم مرتين بما صبروا ويدرءون بالحسنة السيئة ومما رزقنٰهم ينفقون
28,55,سورة القصص,واذا سمعوا اللغو اعرضوا عنه وقالوا لنا اعمٰلنا ولكم اعمٰلكم سلٰم عليكم لا نبتغي الجٰهلين
28,56,سورة القصص,انك لا تهدي من احببت ولٰكن الله يهدي من يشاء وهو اعلم بالمهتدين
28,57,سورة القصص,وقالوا ان نتبع الهدىٰ معك نتخطف من ارضنا اولم نمكن لهم حرما ءامنا يجبىٰ اليه ثمرٰت كل شيء رزقا من لدنا ولٰكن اكثرهم لا يعلمون
28,58,سورة القصص,وكم اهلكنا من قرية بطرت معيشتها فتلك مسٰكنهم لم تسكن من بعدهم الا قليلا وكنا نحن الوٰرثين
28,59,سورة القصص,وما كان ربك مهلك القرىٰ حتىٰ يبعث في امها رسولا يتلوا عليهم ءايٰتنا وما كنا مهلكي القرىٰ الا واهلها ظٰلمون
28,60,سورة القصص,وما اوتيتم من شيء فمتٰع الحيوٰة الدنيا وزينتها وما عند الله خير وابقىٰ افلا تعقلون
28,61,سورة القصص,افمن وعدنٰه وعدا حسنا فهو لٰقيه كمن متعنٰه متٰع الحيوٰة الدنيا ثم هو يوم القيٰمة من المحضرين
28,62,سورة القصص,ويوم يناديهم فيقول اين شركاءي الذين كنتم تزعمون
28,63,سورة القصص,قال الذين حق عليهم القول ربنا هٰؤلاء الذين اغوينا اغوينٰهم كما غوينا تبرانا اليك ما كانوا ايانا يعبدون
28,64,سورة القصص,وقيل ادعوا شركاءكم فدعوهم فلم يستجيبوا لهم وراوا العذاب لو انهم كانوا يهتدون
28,65,سورة القصص,ويوم يناديهم فيقول ماذا اجبتم المرسلين
28,66,سورة القصص,فعميت عليهم الانباء يومئذ فهم لا يتساءلون
28,67,سورة القصص,فاما من تاب وءامن وعمل صٰلحا فعسىٰ ان يكون من المفلحين
28,68,سورة القصص,وربك يخلق ما يشاء ويختار ما كان لهم الخيرة سبحٰن الله وتعٰلىٰ عما يشركون
28,69,سورة القصص,وربك يعلم ما تكن صدورهم وما يعلنون
28,70,سورة القصص,وهو الله لا الٰه الا هو له الحمد في الاولىٰ والاخرة وله الحكم واليه ترجعون
28,71,سورة القصص,قل ارءيتم ان جعل الله عليكم اليل سرمدا الىٰ يوم القيٰمة من الٰه غير الله ياتيكم بضياء افلا تسمعون
28,72,سورة القصص,قل ارءيتم ان جعل الله عليكم النهار سرمدا الىٰ يوم القيٰمة من الٰه غير الله ياتيكم بليل تسكنون فيه افلا تبصرون
28,73,سورة القصص,ومن رحمته جعل لكم اليل والنهار لتسكنوا فيه ولتبتغوا من فضله ولعلكم تشكرون
28,74,سورة القصص,ويوم يناديهم فيقول اين شركاءي الذين كنتم تزعمون
28,75,سورة القصص,ونزعنا من كل امة شهيدا فقلنا هاتوا برهٰنكم فعلموا ان الحق لله وضل عنهم ما كانوا يفترون
28,76,سورة القصص,ان قٰرون كان من قوم موسىٰ فبغىٰ عليهم وءاتينٰه من الكنوز ما ان مفاتحه لتنوا بالعصبة اولي القوة اذ قال له قومه لا تفرح ان الله لا يحب الفرحين
28,77,سورة القصص,وابتغ فيما ءاتىٰك الله الدار الاخرة ولا تنس نصيبك من الدنيا واحسن كما احسن الله اليك ولا تبغ الفساد في الارض ان الله لا يحب المفسدين
28,78,سورة القصص,قال انما اوتيته علىٰ علم عندي اولم يعلم ان الله قد اهلك من قبله من القرون من هو اشد منه قوة واكثر جمعا ولا يسل عن ذنوبهم المجرمون
28,79,سورة القصص,فخرج علىٰ قومه في زينته قال الذين يريدون الحيوٰة الدنيا يٰليت لنا مثل ما اوتي قٰرون انه لذو حظ عظيم
28,80,سورة القصص,وقال الذين اوتوا العلم ويلكم ثواب الله خير لمن ءامن وعمل صٰلحا ولا يلقىٰها الا الصٰبرون
28,81,سورة القصص,فخسفنا به وبداره الارض فما كان له من فئة ينصرونه من دون الله وما كان من المنتصرين
28,82,سورة القصص,واصبح الذين تمنوا مكانه بالامس يقولون ويكان الله يبسط الرزق لمن يشاء من عباده ويقدر لولا ان من الله علينا لخسف بنا ويكانه لا يفلح الكٰفرون
28,83,سورة القصص,تلك الدار الاخرة نجعلها للذين لا يريدون علوا في الارض ولا فسادا والعٰقبة للمتقين
28,84,سورة القصص,من جاء بالحسنة فله خير منها ومن جاء بالسيئة فلا يجزى الذين عملوا السيات الا ما كانوا يعملون
28,85,سورة القصص,ان الذي فرض عليك القرءان لرادك الىٰ معاد قل ربي اعلم من جاء بالهدىٰ ومن هو في ضلٰل مبين
28,86,سورة القصص,وما كنت ترجوا ان يلقىٰ اليك الكتٰب الا رحمة من ربك فلا تكونن ظهيرا للكٰفرين
28,87,سورة القصص,ولا يصدنك عن ءايٰت الله بعد اذ انزلت اليك وادع الىٰ ربك ولا تكونن من المشركين
28,88,سورة القصص,ولا تدع مع الله الٰها ءاخر لا الٰه الا هو كل شيء هالك الا وجهه له الحكم واليه ترجعون
29,0,سورة العنكبوت,سورة العنكبوت
29,0,سورة العنكبوت,بسم الله الرحمٰن الرحيم
29,1,سورة العنكبوت,الم
29,2,سورة العنكبوت,احسب الناس ان يتركوا ان يقولوا ءامنا وهم لا يفتنون
29,3,سورة العنكبوت,ولقد فتنا الذين من قبلهم فليعلمن الله الذين صدقوا وليعلمن الكٰذبين
29,4,سورة العنكبوت,ام حسب الذين يعملون السيات ان يسبقونا ساء ما يحكمون
29,5,سورة العنكبوت,من كان يرجوا لقاء الله فان اجل الله لات وهو السميع العليم
29,6,سورة العنكبوت,ومن جٰهد فانما يجٰهد لنفسه ان الله لغني عن العٰلمين
29,7,سورة العنكبوت,والذين ءامنوا وعملوا الصٰلحٰت لنكفرن عنهم سياتهم ولنجزينهم احسن الذي كانوا يعملون
29,8,سورة العنكبوت,ووصينا الانسٰن بوٰلديه حسنا وان جٰهداك لتشرك بي ما ليس لك به علم فلا تطعهما الي مرجعكم فانبئكم بما كنتم تعملون
29,9,سورة العنكبوت,والذين ءامنوا وعملوا الصٰلحٰت لندخلنهم في الصٰلحين
29,10,سورة العنكبوت,ومن الناس من يقول ءامنا بالله فاذا اوذي في الله جعل فتنة الناس كعذاب الله ولئن جاء نصر من ربك ليقولن انا كنا معكم اوليس الله باعلم بما في صدور العٰلمين
29,11,سورة العنكبوت,وليعلمن الله الذين ءامنوا وليعلمن المنٰفقين
29,12,سورة العنكبوت,وقال الذين كفروا للذين ءامنوا اتبعوا سبيلنا ولنحمل خطٰيٰكم وما هم بحٰملين من خطٰيٰهم من شيء انهم لكٰذبون
29,13,سورة العنكبوت,وليحملن اثقالهم واثقالا مع اثقالهم وليسلن يوم القيٰمة عما كانوا يفترون
29,14,سورة العنكبوت,ولقد ارسلنا نوحا الىٰ قومه فلبث فيهم الف سنة الا خمسين عاما فاخذهم الطوفان وهم ظٰلمون
29,15,سورة العنكبوت,فانجينٰه واصحٰب السفينة وجعلنٰها ءاية للعٰلمين
29,16,سورة العنكبوت,وابرٰهيم اذ قال لقومه اعبدوا الله واتقوه ذٰلكم خير لكم ان كنتم تعلمون
29,17,سورة العنكبوت,انما تعبدون من دون الله اوثٰنا وتخلقون افكا ان الذين تعبدون من دون الله لا يملكون لكم رزقا فابتغوا عند الله الرزق واعبدوه واشكروا له اليه ترجعون
29,18,سورة العنكبوت,وان تكذبوا فقد كذب امم من قبلكم وما على الرسول الا البلٰغ المبين
29,19,سورة العنكبوت,اولم يروا كيف يبدئ الله الخلق ثم يعيده ان ذٰلك على الله يسير
29,20,سورة العنكبوت,قل سيروا في الارض فانظروا كيف بدا الخلق ثم الله ينشئ النشاة الاخرة ان الله علىٰ كل شيء قدير
29,21,سورة العنكبوت,يعذب من يشاء ويرحم من يشاء واليه تقلبون
29,22,سورة العنكبوت,وما انتم بمعجزين في الارض ولا في السماء وما لكم من دون الله من ولي ولا نصير
29,23,سورة العنكبوت,والذين كفروا بايٰت الله ولقائه اولٰئك يئسوا من رحمتي واولٰئك لهم عذاب اليم
29,24,سورة العنكبوت,فما كان جواب قومه الا ان قالوا اقتلوه او حرقوه فانجىٰه الله من النار ان في ذٰلك لايٰت لقوم يؤمنون
29,25,سورة العنكبوت,وقال انما اتخذتم من دون الله اوثٰنا مودة بينكم في الحيوٰة الدنيا ثم يوم القيٰمة يكفر بعضكم ببعض ويلعن بعضكم بعضا وماوىٰكم النار وما لكم من نٰصرين
29,26,سورة العنكبوت,فامن له لوط وقال اني مهاجر الىٰ ربي انه هو العزيز الحكيم
29,27,سورة العنكبوت,ووهبنا له اسحٰق ويعقوب وجعلنا في ذريته النبوة والكتٰب وءاتينٰه اجره في الدنيا وانه في الاخرة لمن الصٰلحين
29,28,سورة العنكبوت,ولوطا اذ قال لقومه انكم لتاتون الفٰحشة ما سبقكم بها من احد من العٰلمين
29,29,سورة العنكبوت,ائنكم لتاتون الرجال وتقطعون السبيل وتاتون في ناديكم المنكر فما كان جواب قومه الا ان قالوا ائتنا بعذاب الله ان كنت من الصٰدقين
29,30,سورة العنكبوت,قال رب انصرني على القوم المفسدين
29,31,سورة العنكبوت,ولما جاءت رسلنا ابرٰهيم بالبشرىٰ قالوا انا مهلكوا اهل هٰذه القرية ان اهلها كانوا ظٰلمين
29,32,سورة العنكبوت,قال ان فيها لوطا قالوا نحن اعلم بمن فيها لننجينه واهله الا امراته كانت من الغٰبرين
29,33,سورة العنكبوت,ولما ان جاءت رسلنا لوطا سيء بهم وضاق بهم ذرعا وقالوا لا تخف ولا تحزن انا منجوك واهلك الا امراتك كانت من الغٰبرين
29,34,سورة العنكبوت,انا منزلون علىٰ اهل هٰذه القرية رجزا من السماء بما كانوا يفسقون
29,35,سورة العنكبوت,ولقد تركنا منها ءاية بينة لقوم يعقلون
29,36,سورة العنكبوت,والىٰ مدين اخاهم شعيبا فقال يٰقوم اعبدوا الله وارجوا اليوم الاخر ولا تعثوا في الارض مفسدين
29,37,سورة العنكبوت,فكذبوه فاخذتهم الرجفة فاصبحوا في دارهم جٰثمين
29,38,سورة العنكبوت,وعادا وثمودا وقد تبين لكم من مسٰكنهم وزين لهم الشيطٰن اعمٰلهم فصدهم عن السبيل وكانوا مستبصرين
29,39,سورة العنكبوت,وقٰرون وفرعون وهٰمٰن ولقد جاءهم موسىٰ بالبينٰت فاستكبروا في الارض وما كانوا سٰبقين
29,40,سورة العنكبوت,فكلا اخذنا بذنبه فمنهم من ارسلنا عليه حاصبا ومنهم من اخذته الصيحة ومنهم من خسفنا به الارض ومنهم من اغرقنا وما كان الله ليظلمهم ولٰكن كانوا انفسهم يظلمون
29,41,سورة العنكبوت,مثل الذين اتخذوا من دون الله اولياء كمثل العنكبوت اتخذت بيتا وان اوهن البيوت لبيت العنكبوت لو كانوا يعلمون
29,42,سورة العنكبوت,ان الله يعلم ما يدعون من دونه من شيء وهو العزيز الحكيم
29,43,سورة العنكبوت,وتلك الامثٰل نضربها للناس وما يعقلها الا العٰلمون
29,44,سورة العنكبوت,خلق الله السمٰوٰت والارض بالحق ان في ذٰلك لاية للمؤمنين
29,45,سورة العنكبوت,اتل ما اوحي اليك من الكتٰب واقم الصلوٰة ان الصلوٰة تنهىٰ عن الفحشاء والمنكر ولذكر الله اكبر والله يعلم ما تصنعون
29,46,سورة العنكبوت,ولا تجٰدلوا اهل الكتٰب الا بالتي هي احسن الا الذين ظلموا منهم وقولوا ءامنا بالذي انزل الينا وانزل اليكم والٰهنا والٰهكم وٰحد ونحن له مسلمون
29,47,سورة العنكبوت,وكذٰلك انزلنا اليك الكتٰب فالذين ءاتينٰهم الكتٰب يؤمنون به ومن هٰؤلاء من يؤمن به وما يجحد بايٰتنا الا الكٰفرون
29,48,سورة العنكبوت,وما كنت تتلوا من قبله من كتٰب ولا تخطه بيمينك اذا لارتاب المبطلون
29,49,سورة العنكبوت,بل هو ءايٰت بينٰت في صدور الذين اوتوا العلم وما يجحد بايٰتنا الا الظٰلمون
29,50,سورة العنكبوت,وقالوا لولا انزل عليه ءايٰت من ربه قل انما الايٰت عند الله وانما انا نذير مبين
29,51,سورة العنكبوت,اولم يكفهم انا انزلنا عليك الكتٰب يتلىٰ عليهم ان في ذٰلك لرحمة وذكرىٰ لقوم يؤمنون
29,52,سورة العنكبوت,قل كفىٰ بالله بيني وبينكم شهيدا يعلم ما في السمٰوٰت والارض والذين ءامنوا بالبٰطل وكفروا بالله اولٰئك هم الخٰسرون
29,53,سورة العنكبوت,ويستعجلونك بالعذاب ولولا اجل مسمى لجاءهم العذاب ولياتينهم بغتة وهم لا يشعرون
29,54,سورة العنكبوت,يستعجلونك بالعذاب وان جهنم لمحيطة بالكٰفرين
29,55,سورة العنكبوت,يوم يغشىٰهم العذاب من فوقهم ومن تحت ارجلهم ويقول ذوقوا ما كنتم تعملون
29,56,سورة العنكبوت,يٰعبادي الذين ءامنوا ان ارضي وٰسعة فايٰي فاعبدون
29,57,سورة العنكبوت,كل نفس ذائقة الموت ثم الينا ترجعون
29,58,سورة العنكبوت,والذين ءامنوا وعملوا الصٰلحٰت لنبوئنهم من الجنة غرفا تجري من تحتها الانهٰر خٰلدين فيها نعم اجر العٰملين
29,59,سورة العنكبوت,الذين صبروا وعلىٰ ربهم يتوكلون
29,60,سورة العنكبوت,وكاين من دابة لا تحمل رزقها الله يرزقها واياكم وهو السميع العليم
29,61,سورة العنكبوت,ولئن سالتهم من خلق السمٰوٰت والارض وسخر الشمس والقمر ليقولن الله فانىٰ يؤفكون
29,62,سورة العنكبوت,الله يبسط الرزق لمن يشاء من عباده ويقدر له ان الله بكل شيء عليم
29,63,سورة العنكبوت,ولئن سالتهم من نزل من السماء ماء فاحيا به الارض من بعد موتها ليقولن الله قل الحمد لله بل اكثرهم لا يعقلون
29,64,سورة العنكبوت,وما هٰذه الحيوٰة الدنيا الا لهو ولعب وان الدار الاخرة لهي الحيوان لو كانوا يعلمون
29,65,سورة العنكبوت,فاذا ركبوا في الفلك دعوا الله مخلصين له الدين فلما نجىٰهم الى البر اذا هم يشركون
29,66,سورة العنكبوت,ليكفروا بما ءاتينٰهم وليتمتعوا فسوف يعلمون
29,67,سورة العنكبوت,اولم يروا انا جعلنا حرما ءامنا ويتخطف الناس من حولهم افبالبٰطل يؤمنون وبنعمة الله يكفرون
29,68,سورة العنكبوت,ومن اظلم ممن افترىٰ على الله كذبا او كذب بالحق لما جاءه اليس في جهنم مثوى للكٰفرين
29,69,سورة العنكبوت,والذين جٰهدوا فينا لنهدينهم سبلنا وان الله لمع المحسنين
30,0,سورة الروم,سورة الروم
30,0,سورة الروم,بسم الله الرحمٰن الرحيم
30,1,سورة الروم,الم
30,2,سورة الروم,غلبت الروم
30,3,سورة الروم,في ادنى الارض وهم من بعد غلبهم سيغلبون
30,4,سورة الروم,في بضع سنين لله الامر من قبل ومن بعد ويومئذ يفرح المؤمنون
30,5,سورة الروم,بنصر الله ينصر من يشاء وهو العزيز الرحيم
30,6,سورة الروم,وعد الله لا يخلف الله وعده ولٰكن اكثر الناس لا يعلمون
30,7,سورة الروم,يعلمون ظٰهرا من الحيوٰة الدنيا وهم عن الاخرة هم غٰفلون
30,8,سورة الروم,اولم يتفكروا في انفسهم ما خلق الله السمٰوٰت والارض وما بينهما الا بالحق واجل مسمى وان كثيرا من الناس بلقاي ربهم لكٰفرون
30,9,سورة الروم,اولم يسيروا في الارض فينظروا كيف كان عٰقبة الذين من قبلهم كانوا اشد منهم قوة واثاروا الارض وعمروها اكثر مما عمروها وجاءتهم رسلهم بالبينٰت فما كان الله ليظلمهم ولٰكن كانوا انفسهم يظلمون
30,10,سورة الروم,ثم كان عٰقبة الذين اسٰوا السواىٰ ان كذبوا بايٰت الله وكانوا بها يستهزءون
30,11,سورة الروم,الله يبدؤا الخلق ثم يعيده ثم اليه ترجعون
30,12,سورة الروم,ويوم تقوم الساعة يبلس المجرمون
30,13,سورة الروم,ولم يكن لهم من شركائهم شفعٰؤا وكانوا بشركائهم كٰفرين
30,14,سورة الروم,ويوم تقوم الساعة يومئذ يتفرقون
30,15,سورة الروم,فاما الذين ءامنوا وعملوا الصٰلحٰت فهم في روضة يحبرون
30,16,سورة الروم,واما الذين كفروا وكذبوا بايٰتنا ولقاي الاخرة فاولٰئك في العذاب محضرون
30,17,سورة الروم,فسبحٰن الله حين تمسون وحين تصبحون
30,18,سورة الروم,وله الحمد في السمٰوٰت والارض وعشيا وحين تظهرون
30,19,سورة الروم,يخرج الحي من الميت ويخرج الميت من الحي ويحي الارض بعد موتها وكذٰلك تخرجون
30,20,سورة الروم,ومن ءايٰته ان خلقكم من تراب ثم اذا انتم بشر تنتشرون
30,21,سورة الروم,ومن ءايٰته ان خلق لكم من انفسكم ازوٰجا لتسكنوا اليها وجعل بينكم مودة ورحمة ان في ذٰلك لايٰت لقوم يتفكرون
30,22,سورة الروم,ومن ءايٰته خلق السمٰوٰت والارض واختلٰف السنتكم والوٰنكم ان في ذٰلك لايٰت للعٰلمين
30,23,سورة الروم,ومن ءايٰته منامكم باليل والنهار وابتغاؤكم من فضله ان في ذٰلك لايٰت لقوم يسمعون
30,24,سورة الروم,ومن ءايٰته يريكم البرق خوفا وطمعا وينزل من السماء ماء فيحي به الارض بعد موتها ان في ذٰلك لايٰت لقوم يعقلون
30,25,سورة الروم,ومن ءايٰته ان تقوم السماء والارض بامره ثم اذا دعاكم دعوة من الارض اذا انتم تخرجون
30,26,سورة الروم,وله من في السمٰوٰت والارض كل له قٰنتون
30,27,سورة الروم,وهو الذي يبدؤا الخلق ثم يعيده وهو اهون عليه وله المثل الاعلىٰ في السمٰوٰت والارض وهو العزيز الحكيم
30,28,سورة الروم,ضرب لكم مثلا من انفسكم هل لكم من ما ملكت ايمٰنكم من شركاء في ما رزقنٰكم فانتم فيه سواء تخافونهم كخيفتكم انفسكم كذٰلك نفصل الايٰت لقوم يعقلون
30,29,سورة الروم,بل اتبع الذين ظلموا اهواءهم بغير علم فمن يهدي من اضل الله وما لهم من نٰصرين
30,30,سورة الروم,فاقم وجهك للدين حنيفا فطرت الله التي فطر الناس عليها لا تبديل لخلق الله ذٰلك الدين القيم ولٰكن اكثر الناس لا يعلمون
30,31,سورة الروم,منيبين اليه واتقوه واقيموا الصلوٰة ولا تكونوا من المشركين
30,32,سورة الروم,من الذين فرقوا دينهم وكانوا شيعا كل حزب بما لديهم فرحون
30,33,سورة الروم,واذا مس الناس ضر دعوا ربهم منيبين اليه ثم اذا اذاقهم منه رحمة اذا فريق منهم بربهم يشركون
30,34,سورة الروم,ليكفروا بما ءاتينٰهم فتمتعوا فسوف تعلمون
30,35,سورة الروم,ام انزلنا عليهم سلطٰنا فهو يتكلم بما كانوا به يشركون
30,36,سورة الروم,واذا اذقنا الناس رحمة فرحوا بها وان تصبهم سيئة بما قدمت ايديهم اذا هم يقنطون
30,37,سورة الروم,اولم يروا ان الله يبسط الرزق لمن يشاء ويقدر ان في ذٰلك لايٰت لقوم يؤمنون
30,38,سورة الروم,فات ذا القربىٰ حقه والمسكين وابن السبيل ذٰلك خير للذين يريدون وجه الله واولٰئك هم المفلحون
30,39,سورة الروم,وما ءاتيتم من ربا ليربوا في اموٰل الناس فلا يربوا عند الله وما ءاتيتم من زكوٰة تريدون وجه الله فاولٰئك هم المضعفون
